error,time
-0.5195876288659793,1644086986.2297506
-0.5351239669421488,1644086986.2347372
-0.5351239669421488,1644086986.2397237
-0.5351239669421488,1644086986.243714
-0.5636743215031315,1644086986.2486987
-0.5636743215031315,1644086986.254683
-0.5636743215031315,1644086986.2596705
-0.5625,1644086986.2646563
-0.5625,1644086986.268647
-0.5625,1644086986.2746305
-0.5625,1644086986.2796173
-0.5729166666666667,1644086986.284604
-0.5729166666666667,1644086986.2915847
-0.5945378151260504,1644086986.2955742
-0.5945378151260504,1644086986.3015575
-0.5945378151260504,1644086986.3055475
-0.5945378151260504,1644086986.3105347
-0.5991649269311065,1644086986.3155212
-0.5991649269311065,1644086986.320507
-0.5991649269311065,1644086986.3244987
-0.5809128630705394,1644086986.3304808
-0.5809128630705394,1644086986.3354683
-0.5809128630705394,1644086986.3404531
-0.5345528455284553,1644086986.3464394
-0.5345528455284553,1644086986.3504295
-0.5345528455284553,1644086986.3554146
-0.46906187624750495,1644086986.3613994
-0.46906187624750495,1644086986.3653884
-0.46906187624750495,1644086986.370374
-0.4650698602794411,1644086986.375361
-0.4650698602794411,1644086986.3803473
-0.4650698602794411,1644086986.384337
-0.4750499001996008,1644086986.3913183
-0.4750499001996008,1644086986.3953075
-0.4750499001996008,1644086986.3992972
-0.4750499001996008,1644086986.4042845
-0.5010020040080161,1644086986.4102683
-0.5010020040080161,1644086986.4142566
-0.5010020040080161,1644086986.4192436
-0.5557809330628803,1644086986.4252284
-0.5557809330628803,1644086986.4292173
-0.5557809330628803,1644086986.4332054
-0.5784114052953158,1644086986.4401882
-0.5784114052953158,1644086986.4441772
-0.5784114052953158,1644086986.4491634
-0.6403326403326404,1644086986.456144
-0.6403326403326404,1644086986.4601338
-0.6403326403326404,1644086986.4641235
-0.6403326403326404,1644086986.4711046
-0.6829787234042553,1644086986.4790838
-0.6829787234042553,1644086986.483073
-0.7092511013215859,1644086986.489057
-0.7092511013215859,1644086986.4930468
-0.7092511013215859,1644086986.4980326
-0.7254004576659039,1644086986.5040164
-0.7254004576659039,1644086986.5090034
-0.7254004576659039,1644086986.5139904
-0.7165898617511521,1644086986.5189767
-0.7165898617511521,1644086986.5249608
-0.7165898617511521,1644086986.5299482
-0.7251732101616628,1644086986.5369294
-0.7251732101616628,1644086986.5429132
-0.7262180974477959,1644086986.5478988
-0.7262180974477959,1644086986.5528853
-0.7262180974477959,1644086986.5578723
-0.7262180974477959,1644086986.5638568
-0.7262180974477959,1644086986.5688446
-0.7262180974477959,1644086986.5748286
-0.7362385321100917,1644086986.5798147
-0.7362385321100917,1644086986.5848005
-0.7362385321100917,1644086986.5897882
-0.5856777493606138,1644086986.6386561
-0.3819241982507289,1644086986.6426477
-0.3819241982507289,1644086986.6476333
-0.3819241982507289,1644086986.6526208
-0.22327044025157228,1644086986.6576056
-0.22327044025157228,1644086986.6615968
-0.22327044025157228,1644086986.666582
-0.22327044025157228,1644086986.6715698
-0.21739130434782605,1644086986.6775534
-0.21739130434782605,1644086986.682539
-0.21739130434782605,1644086986.6875262
-0.020905923344947785,1644086986.693509
-0.020905923344947785,1644086986.6974986
-0.020905923344947785,1644086986.7024858
0.11764705882352944,1644086986.7084706
0.11764705882352944,1644086986.7134578
0.11764705882352944,1644086986.7184439
0.29552238805970155,1644086986.7234306
0.29552238805970155,1644086986.7284164
0.29552238805970155,1644086986.733404
0.1993670886075949,1644086986.7403853
0.1993670886075949,1644086986.7453718
0.22699386503067487,1644086986.7523532
0.22699386503067487,1644086986.7583377
0.22699386503067487,1644086986.7623258
0.40443213296398894,1644086986.767313
0.40443213296398894,1644086986.7732968
0.40443213296398894,1644086986.7772875
0.4598930481283422,1644086986.78327
0.4598930481283422,1644086986.790251
0.4598930481283422,1644086986.7942412
0.5256410256410257,1644086986.7992282
0.5256410256410257,1644086986.8052125
0.5256410256410257,1644086986.8092005
0.5256410256410257,1644086986.8141866
0.364406779661017,1644086986.819175
0.364406779661017,1644086986.8251588
0.19195046439628483,1644086986.8311422
0.19195046439628483,1644086986.8371272
0.19195046439628483,1644086986.8421125
0.15015974440894564,1644086986.8470993
0.15015974440894564,1644086986.8520865
0.15015974440894564,1644086986.8590674
0.36467236467236464,1644086986.8660486
0.36467236467236464,1644086986.8740265
0.3081395348837209,1644086986.8800116
0.3081395348837209,1644086986.8859956
0.3081395348837209,1644086986.8919795
0.30523255813953487,1644086986.896966
0.30523255813953487,1644086986.901952
0.30523255813953487,1644086986.9079373
-0.35243553008595985,1644086986.9129238
-0.35243553008595985,1644086986.916912
-0.35243553008595985,1644086986.9218986
-0.48275862068965514,1644086986.9278831
-0.48275862068965514,1644086986.9328697
-0.48275862068965514,1644086986.9378576
-0.4316939890710383,1644086986.9438412
-0.4316939890710383,1644086986.9498255
-0.3401162790697675,1644086986.9578032
-0.3401162790697675,1644086986.9637876
-0.3401162790697675,1644086986.9687753
-0.16987179487179482,1644086986.980742
-0.16987179487179482,1644086986.9897184
-0.16987179487179482,1644086986.9966986
0.057627118644067776,1644086987.0056763
0.057627118644067776,1644086987.0116599
0.057627118644067776,1644086987.0156496
0.25531914893617025,1644086987.0226305
0.25531914893617025,1644086987.0276165
0.4347826086956522,1644086987.033601
0.4347826086956522,1644086987.039585
0.4347826086956522,1644086987.044572
0.6744186046511628,1644086987.0495589
0.6744186046511628,1644086987.05654
0.6744186046511628,1644086987.0615265
0.5956416464891041,1644086987.0665128
0.5956416464891041,1644086987.0724967
0.5956416464891041,1644086987.0784802
0.45257452574525747,1644086987.0834672
0.45257452574525747,1644086987.090448
0.45257452574525747,1644086987.0954366
0.28656716417910444,1644086987.1004229
0.28656716417910444,1644086987.1054094
0.28656716417910444,1644086987.1103966
-0.29585798816568043,1644086987.1153824
-0.29585798816568043,1644086987.1203687
-0.29585798816568043,1644086987.1263533
-0.5218508997429305,1644086987.1323378
-0.5218508997429305,1644086987.1373224
-0.5218508997429305,1644086987.14231
-0.45721925133689845,1644086987.1482954
-0.45721925133689845,1644086987.152283
-0.45721925133689845,1644086987.1582665
-0.23853211009174313,1644086987.1642501
-0.23853211009174313,1644086987.1702352
-0.23853211009174313,1644086987.1752229
0.13953488372093026,1644086987.1802087
0.13953488372093026,1644086987.185195
0.13953488372093026,1644086987.190181
0.7315436241610738,1644086987.196165
0.7315436241610738,1644086987.2001545
0.7315436241610738,1644086987.2061396
0.7911646586345382,1644086987.212123
0.7911646586345382,1644086987.2181087
0.615234375,1644086987.2250898
0.615234375,1644086987.2300742
0.615234375,1644086987.2360592
0.521484375,1644086987.242043
0.521484375,1644086987.2470295
0.521484375,1644086987.2520165
0.515625,1644086987.2580009
0.515625,1644086987.2629883
0.515625,1644086987.2679737
0.619140625,1644086987.2749543
0.619140625,1644086987.2799413
0.619140625,1644086987.2849295
0.642578125,1644086987.2909129
0.642578125,1644086987.2968965
0.693359375,1644086987.3018835
0.693359375,1644086987.3088655
0.693359375,1644086987.3148503
0.7351778656126482,1644086987.3208323
0.7351778656126482,1644086987.3258193
0.7351778656126482,1644086987.330806
0.7386138613861386,1644086987.3377867
0.7386138613861386,1644086987.3427734
0.748995983935743,1644086987.3487575
0.748995983935743,1644086987.3547425
0.748995983935743,1644086987.3607268
0.7580645161290323,1644086987.3667097
